the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at,address
NA,SS,CAR,Abra,Tineg,Abra,Tineg,200,Tineg NHS,260000,NA,NA,305104,46112,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Tineg National High School, Tineg, Abra"
NA,ES,CARAGA,Agusan Del Norte,Kitcharao,Agusan del Norte,Kitcharao,268,P.C. Reyes ES,150000,NA,NA,131452,32849,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"P.C. Reyes Elementary School, Kitcharao, Agusan Del Norte"
NA,ES,CARAGA,Agusan Del Norte,Kitcharao,Agusan del Norte,Kitcharao,409,San Roque ES,198000,NA,NA,131454,32851,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"San Roque Elementary School, Kitcharao, Agusan Del Norte"
NA,SS,Region VI,Aklan,Makato,Aklan,Makato,66,Baybay-Alibagon Integrated School,NA,NA,NA,310627,42444,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Baybay-Alibagon Integrated School, Makato, Aklan"
NA,SS,Region VI,Aklan,Batan,Aklan,Batan,50,Palay Integrated School,NA,NA,NA,310628,42445,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Palay Integrated School, Batan, Aklan"
NA,SS,Region VI,Aklan,Madalag,Aklan,Madalag,29,Ma. Cristina Integrated School,NA,NA,NA,310629,42446,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ma. Cristina Integrated School, Madalag, Aklan"
NA,SS,Region VI,Aklan,Batan,Aklan,Batan,36,Ipil Integrated School,NA,NA,NA,310630,42447,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ipil Integrated School, Batan, Aklan"
NA,ES,Region V,Albay,Tiwi,Albay,Tiwi,393,Sugod ES,220000,NA,NA,112080,12642,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sugod Elementary School, Tiwi, Albay"
NA,ES,Region VI,Antique,Anini-Y,Antique,Anini-y,321,Magdalena ES,202000,NA,NA,114946,15620,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Magdalena Elementary School, Anini-Y, Antique"
NA,ES,Region VI,Antique,Caluya,Antique,Caluya,182,Lim ES,118000,NA,NA,115014,15688,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lim Elementary School, Caluya, Antique"
NA,ES,Region VI,Antique,Pandan,Antique,Pandan,106,Ciriaco Tayco MS,103000,NA,NA,115149,15819,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ciriaco Tayco MS, Pandan, Antique"
NA,ES,Region VI,Antique,Caluya,Antique,Caluya,296,Panagatan ES,153000,NA,NA,178502,18581,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Panagatan Elementary School, Caluya, Antique"
NA,ES,CAR,Apayao,Conner,Apayao,Northern Conner,30,Liwan Elementary School,61000,NA,NA,219007,38012,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Liwan Elementary School, Conner, Apayao"
NA,ES,CAR,Apayao,Conner,Apayao,Northern Conner,10,Bubog PS,58000,NA,NA,219016,38020,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bubog Primary School, Conner, Apayao"
NA,ES,CAR,Apayao,Conner,Apayao,Northern Conner,81,Upper Katablangan ES,87000,NA,NA,219017,38021,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Upper Katablangan Elementary School, Conner, Apayao"
NA,ES,CAR,Apayao,Conner,Apayao,Northern Conner,47,Mabaguio PS,59000,NA,NA,219018,38022,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mabaguio Primary School, Conner, Apayao"
NA,ES,CAR,Apayao,Conner,Apayao,Southern Conner,64,Mabiga Elementary School,67000,NA,NA,219020,38023,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mabiga Elementary School, Conner, Apayao"
NA,ES,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,24,Iyapan PS,46000,NA,NA,220023,38079,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Iyapan Primary School, Kabugao (Capital), Apayao"
NA,ES,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,34,Kagawadan PS,45000,NA,NA,220024,38080,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kagawadan Primary School, Kabugao (Capital), Apayao"
NA,ES,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,22,Paco Valley PS,43000,NA,NA,220025,38081,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Paco Valley Primary School, Kabugao (Capital), Apayao"
NA,SS,CAR,Apayao,Conner,Apayao,Calanasan,465,Conner Central NHS Main,720000,NA,NA,305111,46119,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Conner Central National High School Main, Conner, Apayao"
NA,SS,CAR,Apayao,Luna,Apayao,Luna,414,Luna National High School Main,479000,NA,NA,305116,46124,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Luna National High School Main, Luna, Apayao"
NA,SS,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,200,Mayor Bartolome Serut NATHS-Main,329000,NA,NA,305119,46127,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mayor Bartolome Serut NATHS-Main, Kabugao (Capital), Apayao"
NA,SS,CAR,Apayao,Pudtol,Apayao,Pudtol,448,Pudtol NHS,494000,NA,NA,305123,46131,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Pudtol National High School, Pudtol, Apayao"
NA,SS,CAR,Apayao,Conner,Apayao,Calanasan,248,Conner Central NHS Talifugo Annex,329000,NA,NA,318802,46295,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Conner Central National High School Talifugo Annex, Conner, Apayao"
NA,SS,CAR,Apayao,Conner,Apayao,Calanasan,173,Conner Central NHS Cupis Annex,204000,NA,NA,318803,46296,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Conner Central National High School Cupis Annex, Conner, Apayao"
NA,SS,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,228,Kabugao Agro-Ind'l. HS - Lenneng Annex,234000,NA,NA,318806,46299,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kabugao Agro-Ind'l. High School - Lenneng Annex, Kabugao (Capital), Apayao"
NA,SS,CAR,Apayao,Conner,Apayao,Calanasan,107,Conner Central NHS Guina-ang Annex III,144000,NA,NA,318807,46300,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Conner Central National High School Guina-ang Annex III, Conner, Apayao"
NA,SS,CAR,Apayao,Calanasan (Bayag),Apayao,Calanasan,112,PIO DALIM Memorial SAT-Sta.Filomena,144000,NA,NA,318811,46304,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"PIO DALIM Memorial SAT-Sta.Filomena, Calanasan (Bayag), Apayao"
NA,SS,CAR,Apayao,Conner,Apayao,Northern Conner,214,Conner Central NHS Ili Annex,178000,NA,NA,318812,46305,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Conner Central National High School Ili Annex, Conner, Apayao"
NA,SS,CAR,Apayao,Pudtol,Apayao,Calanasan,65,Mataguisi Comprehensive NHS Cacalaggan Annex,144000,NA,NA,319009,46332,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mataguisi Comprehensive National High School Cacalaggan Annex, Pudtol, Apayao"
NA,SS,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,59,Mayor Bartolome Serut NATHS Annex,144000,NA,NA,319010,46333,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mayor Bartolome Serut NATHS Annex, Kabugao (Capital), Apayao"
NA,ES,Region III,Aurora,Dilasag,Aurora,Dilasag,694,Dilasag CS,352000,NA,NA,104435,4622,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Dilasag CS, Dilasag, Aurora"
NA,SS,Region III,Aurora,Maria Aurora,Aurora,Ma. Aurora,99,Dianawan NHS,175000,NA,NA,306506,39966,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Dianawan National High School, Maria Aurora, Aurora"
NA,ES,ARMM,Basilan,City of Lamitan,Lamitan City,Lamitan South,164,Boheyakan ES,NA,NA,NA,132995,34457,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Boheyakan Elementary School, City of Lamitan, Basilan"
NA,ES,ARMM,Basilan,Lantawan,Basilan,Lantawan,158,Baungis PS,NA,NA,NA,133026,34485,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Baungis Primary School, Lantawan, Basilan"
NA,ES,ARMM,Basilan,Lantawan,Basilan,Lantawan,48,Lantawan Proper PS,NA,NA,NA,133034,34492,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lantawan Proper Primary School, Lantawan, Basilan"
NA,ES,ARMM,Basilan,Maluso,Basilan,Maluso West,474,Laud ES,NA,NA,NA,133063,34516,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Laud Elementary School, Maluso, Basilan"
NA,ES,ARMM,Basilan,Lantawan,Basilan,Pilas,211,Dasalan ES,NA,NA,NA,133070,34522,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Dasalan Elementary School, Lantawan, Basilan"
NA,ES,ARMM,Basilan,Lantawan,Basilan,Pilas,257,Palahangan ES,NA,NA,NA,133075,34527,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Palahangan Elementary School, Lantawan, Basilan"
NA,ES,ARMM,Basilan,Sumisip,Basilan,Sumisip East,191,Marang ES,NA,NA,NA,133124,34567,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Marang Elementary School, Sumisip, Basilan"
NA,ES,ARMM,Basilan,Sumisip,Basilan,Sumisip East,202,Daingdingan ES,NA,NA,NA,133130,34572,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Daingdingan Elementary School, Sumisip, Basilan"
NA,ES,ARMM,Basilan,Tipo-Tipo,Basilan,Tipo-Tipo East,368,Kaulungan Primary School,NA,NA,NA,133148,34587,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kaulungan Primary School, Tipo-Tipo, Basilan"
NA,ES,ARMM,Basilan,Tipo-Tipo,Basilan,Tipo-Tipo West,320,Kuhon Lennuh ES,NA,NA,NA,133168,34603,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kuhon Lennuh Elementary School, Tipo-Tipo, Basilan"
NA,ES,ARMM,Basilan,Tuburan,Basilan,Tuburan,122,Jose Abad Santos PS,NA,NA,NA,133191,34620,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Jose Abad Santos Primary School, Tuburan, Basilan"
NA,ES,ARMM,Basilan,Tuburan,Basilan,Tuburan,63,Mataggan ES,NA,NA,NA,133201,34627,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mataggan Elementary School, Tuburan, Basilan"
NA,ES,ARMM,Basilan,Sumisip,Basilan,Sumisip East,157,Ismael Memorial PS,NA,NA,NA,215012,36241,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ismael Memorial Primary School, Sumisip, Basilan"
NA,ES,ARMM,Basilan,Hadji Muhtamad,Basilan,Pilas,162,Kainahan PS,NA,NA,NA,215016,36244,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kainahan Primary School, Hadji Muhtamad, Basilan"
NA,SS,ARMM,Basilan,Tuburan,Basilan,Lantawan,113,Sinulatan NHS - Butun Annex,NA,NA,NA,318003,45911,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sinulatan National High School - Butun Annex, Tuburan, Basilan"
NA,SS,ARMM,Basilan,Akbar,Basilan,Tuburan,182,Upper Bato-Bato National High School,NA,NA,NA,318004,45912,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Upper Bato-Bato National High School, Akbar, Basilan"
NA,SS,Region III,Bataan,Orion,Bataan,Orion,1480,Bataan School of Fisheries,1946000,NA,NA,300703,39598,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bataan School of Fisheries, Orion, Bataan"
NA,SS,Region III,Bataan,Mariveles,Bataan,Mariveles,3930,"Mariveles NHS,Poblacion",3290000,NA,NA,300711,39606,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mariveles National High School,Poblacion, Mariveles, Bataan"
NA,SS,Region III,Bataan,Dinalupihan,Bataan,Dinalupihan West,114,Roosevelt National High School,NA,NA,NA,306612,39986,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Roosevelt National High School, Dinalupihan, Bataan"
NA,SS,Region III,Bataan,Hermosa,Bataan,Hermosa,93,Hermosa National High School-Annex,NA,NA,NA,306613,39987,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Hermosa National High School-Annex, Hermosa, Bataan"
NA,SS,Region III,Bataan,Morong,Bataan,Morong,12,Kanawan Integrated School,NA,NA,NA,306614,39988,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kanawan Integrated School, Morong, Bataan"
NA,SS,Region III,Bataan,Mariveles,Bataan,Mariveles,187,Mariveles NHS Annex - Sisiman,NA,NA,NA,306615,39989,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mariveles National High School Annex - Sisiman, Mariveles, Bataan"
NA,SS,Region III,Bataan,Limay,Bataan,Limay,406,St. Francis National High School,NA,NA,NA,306616,39990,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"St. Francis National High School, Limay, Bataan"
NA,ES,Region II,Batanes,Basco (Capital),Batanes,Basco,57,Chanarian Barrio School,115000,NA,NA,102312,2397,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Chanarian Barrio School, Basco (Capital), Batanes"
NA,ES,Region II,Batanes,Sabtang,Batanes,Sabtang,121,Sabtang Elementary School,186000,NA,NA,102328,2413,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sabtang Elementary School, Sabtang, Batanes"
NA,ES,Region IV-A,Batangas,Agoncillo,Batangas,Agoncillo,504,Banyaga ES,268000,NA,NA,107205,7589,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Banyaga Elementary School, Agoncillo, Batangas"
NA,ES,Region IV-A,Batangas,Bauan,Batangas,Bauan,58,Pitugo ES,81000,NA,NA,107275,7657,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Pitugo Elementary School, Bauan, Batangas"
NA,ES,Region IV-A,Batangas,Calaca,Batangas,Calaca,36,Puting Kahoy School,53000,NA,NA,107305,7687,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Puting Kahoy School, Calaca, Batangas"
NA,ES,Region IV-A,Batangas,Lian,Batangas,Lian,176,Tanag ES,132000,NA,NA,107425,7805,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Tanag Elementary School, Lian, Batangas"
NA,ES,Region IV-A,Batangas,Lobo,Batangas,Lobo,133,Punas Elementary School,113000,NA,NA,107444,7824,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Punas Elementary School, Lobo, Batangas"
NA,ES,Region IV-A,Batangas,Mabini,Batangas,Mabini,85,Panay ES,84000,NA,NA,107460,7840,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Panay Elementary School, Mabini, Batangas"
NA,ES,Region IV-A,Batangas,Mataasnakahoy,Batangas,Mataas Na Kahoy,186,PAARALANG ELEMENTARYA NG LOOB,119000,NA,NA,107484,7864,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"PAARALANG ELEMENTARYA NG LOOB, Mataasnakahoy, Batangas"
NA,ES,Region IV-A,Batangas,Rosario,Batangas,Rosario West,228,Mavalor Elementary School,137000,NA,NA,107562,7942,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mavalor Elementary School, Rosario, Batangas"
NA,ES,Region IV-A,Batangas,Rosario,Batangas,Rosario West,415,Mayuro Elementary School,204000,NA,NA,107563,7943,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mayuro Elementary School, Rosario, Batangas"
NA,ES,Region IV-A,Batangas,San Nicolas,Batangas,San Nicolas,975,San Nicolas CS,404000,NA,NA,107666,8046,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"San Nicolas CS, San Nicolas, Batangas"
NA,ES,Region IV-A,Batangas,Talisay,Batangas,Talisay,328,Balas ES,165000,NA,NA,107737,8117,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Balas Elementary School, Talisay, Batangas"
NA,ES,Region IV-A,Batangas,Talisay,Batangas,Talisay,493,Banga ES,255000,NA,NA,107738,8118,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Banga Elementary School, Talisay, Batangas"
NA,ES,Region IV-A,Batangas,Talisay,Batangas,Talisay,439,Caloocan ES,231000,NA,NA,107739,8119,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Caloocan Elementary School, Talisay, Batangas"
NA,ES,Region IV-A,Batangas,Talisay,Batangas,Talisay,730,Jorge B. Vargas MES,303000,NA,NA,107741,8121,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Jorge B. Vargas MElementary School, Talisay, Batangas"
NA,ES,Region IV-A,Batangas,Lipa City,Lipa City,Lipa City West District,113,Tagbakin Elementary School,79000,NA,NA,109702,10047,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Tagbakin Elementary School, Lipa City, Batangas"
NA,SS,Region IV-A,Batangas,Nasugbu,Batangas,Nasugbu East,1360,Bilaran NHS,1173000,NA,NA,301086,40246,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bilaran National High School, Nasugbu, Batangas"
NA,SS,Region IV-A,Batangas,Rosario,Batangas,Rosario East,260,Palakpak NHS,347000,NA,NA,301131,40291,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Palakpak National High School, Rosario, Batangas"
NA,SS,Region IV-A,Batangas,Bauan,Batangas,Bauan,234,San Vicente Manalupang NHS,379000,NA,NA,301145,40305,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"San Vicente Manalupang National High School, Bauan, Batangas"
NA,SS,Region IV-A,Batangas,Tuy,Batangas,Tuy,946,Jose Lopez Manzano Tuy National High School,858000,NA,NA,307710,40693,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Jose Lopez Manzano Tuy National High School, Tuy, Batangas"
NA,SS,Region IV-A,Batangas,San Juan,Batangas,San Juan West,269,Sampiro National High School,348000,NA,NA,307712,40695,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sampiro National High School, San Juan, Batangas"
NA,ES,CAR,Benguet,Bakun,Benguet,Bakun,56,Cabutotan ES,85000,NA,NA,135410,37030,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Cabutotan Elementary School, Bakun, Benguet"
NA,ES,CAR,Benguet,Bokod,Benguet,Bokod,13,Pidile PS,56000,NA,NA,135451,37067,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Pidile Primary School, Bokod, Benguet"
NA,ES,CAR,Benguet,Buguias,Benguet,Buguias,122,Sagandoy ES,108000,NA,NA,135495,37107,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sagandoy Elementary School, Buguias, Benguet"
NA,ES,CAR,Benguet,Itogon,Benguet,Itogon I,138,MAXIMINO FIANZA LOPEZ ELEM. SCHOOL,107000,NA,NA,135500,37111,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"MAXIMINO FIANZA LOPEZ ELEM. SCHOOL, Itogon, Benguet"
NA,ES,CAR,Benguet,Itogon,Benguet,Itogon II,172,Goldfield PS,111000,NA,NA,135523,37133,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Goldfield Primary School, Itogon, Benguet"
NA,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,11,Ayosep PS,49000,NA,NA,135639,37242,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ayosep Primary School, Mankayan, Benguet"
NA,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,15,Kema PS,56000,NA,NA,135640,37243,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kema Primary School, Mankayan, Benguet"
NA,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,29,Cotcot PS,52000,NA,NA,135651,37253,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Cotcot Primary School, Mankayan, Benguet"
NA,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,24,Ulsino PS,56000,NA,NA,135657,37258,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ulsino Primary School, Mankayan, Benguet"
NA,ES,CAR,Benguet,Sablan,Benguet,Sablan,36,Taya MG School,74000,NA,NA,135683,37281,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Taya MG School, Sablan, Benguet"
NA,ES,CAR,Benguet,Tublay,Benguet,Tublay,71,Mamuyod ES,84000,NA,NA,135729,37324,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mamuyod Elementary School, Tublay, Benguet"
NA,ES,CAR,Benguet,Buguias,Benguet,Buguias,110,Deccan PS,86000,NA,NA,219503,38033,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Deccan Primary School, Buguias, Benguet"
NA,ES,CAR,Benguet,Bokod,Benguet,Bokod,24,Adonot PS,61000,NA,NA,219506,38034,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Adonot Primary School, Bokod, Benguet"
NA,ES,CAR,Benguet,Bokod,Benguet,Bokod,28,Bunagan Primary School,62000,NA,NA,219507,38035,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bunagan Primary School, Bokod, Benguet"
NA,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,30,Cada PS,59000,NA,NA,219511,38039,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Cada Primary School, Mankayan, Benguet"
NA,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,21,Lap-angan PS,51000,NA,NA,219512,38040,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lap-angan Primary School, Mankayan, Benguet"
NA,ES,CAR,Benguet,Bakun,Benguet,Bakun,10,Guing-oy Elementary School,59000,NA,NA,219513,38041,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Guing-oy Elementary School, Bakun, Benguet"
NA,ES,CAR,Benguet,Bokod,Benguet,Bokod,56,Karao Tribe ES,55000,NA,NA,219514,38042,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Karao Tribe Elementary School, Bokod, Benguet"
NA,ES,CAR,Benguet,Itogon,Benguet,Itogon II,26,Daynet ES,72000,NA,NA,219516,38044,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Daynet Elementary School, Itogon, Benguet"
NA,ES,CAR,Benguet,Bokod,Benguet,Bokod,8,Bakian Guiniawan PS,58000,NA,NA,219519,38047,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bakian Guiniawan Primary School, Bokod, Benguet"
NA,ES,CAR,Benguet,Bokod,Benguet,Bokod,11,Bawempeta PS,50000,NA,NA,219520,38048,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bawempeta Primary School, Bokod, Benguet"
NA,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,37,Sayapot PS,54000,NA,NA,219521,38049,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sayapot Primary School, Mankayan, Benguet"
NA,ES,CAR,Benguet,Bakun,Benguet,Bakun,34,Batanes Primary School,47000,NA,NA,219528,38056,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Batanes Primary School, Bakun, Benguet"
NA,ES,CAR,Benguet,Bakun,Benguet,Bakun,25,Cadsi-Amoy ES - Poway Annex,51000,NA,NA,219529,38057,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Cadsi-Amoy Elementary School - Poway Annex, Bakun, Benguet"
NA,ES,CAR,Benguet,Bakun,Benguet,Bakun,31,Yugo Bantales Primary School,50000,NA,NA,219530,38058,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Yugo Bantales Primary School, Bakun, Benguet"
NA,ES,CAR,Benguet,Itogon,Benguet,Itogon II,57,Simpa Primary School,69000,NA,NA,219531,38059,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Simpa Primary School, Itogon, Benguet"
NA,ES,CAR,Benguet,Kibungan,Benguet,Kibungan,26,Sapdaan Primary School,69000,NA,NA,219532,38060,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sapdaan Primary School, Kibungan, Benguet"
